Province,March,April,May,June,July,Augst,September,October,November,December,January,February
Aceh,0.03,-13.13,2.65,1.47,5.77,5.32,2.23,4.45,1.27,7.68,-2.13,-0.98
Bali,-14.34,-34.4,-34.94,-31.3,-28.94,-26.29,-25.17,-23.97,-23.9,-17.9,-31.58,-20.84
Bangka Belitung Islands,-2.16,-15.2,-2.74,-5.67,3,3.68,5.17,6.13,4.23,5.52,-12.55,-7.58
Banten,-2,-20.23,-9.97,-7.17,-3.94,-2.74,-5.07,-2.87,-3.17,1.65,-9.71,-3.28
Bengkulu,-0.16,-17.83,-8.65,-1.77,5.29,7.45,8.17,13.06,12.4,18.19,4.26,4.91
Central Java,-2.55,-15.57,-6.61,-2.63,-0.29,5.03,1.13,4.1,1.73,5.74,-8.77,-5.58
Central Kalimantan,-2.03,-21.03,-17.45,-15.23,-7.42,-2.65,-2.6,4,3.13,9.32,-5.42,-1.91
Central Sulawesi,-0.89,-19.73,-6.97,-6.47,-0.26,5.32,3.63,4.32,5.5,15.45,0.81,-1
East Java,-0.76,-16.13,-11.81,-5.87,-3.55,-0.61,-0.9,1.52,1.57,3.84,-9.58,-4.07
East Kalimantan,-0.74,-19.13,-6.26,-4.37,-1.61,-2.45,-1.13,4.26,2.63,9.74,-2.45,-1.37
East Nusa Tenggara,-5.68,-20.1,-16.74,-5.77,1.71,9.16,7.5,10.1,11.83,19.68,-5.29,-7.74
Gorontalo,2,-18.77,-19.26,-12.63,-6.84,-1.61,3.8,10.42,9.53,16.81,-0.03,1.16
Jakarta,-4.76,-29.83,-21.19,-12.97,-7.97,-9.87,-13.47,-12.81,-10.27,-6.55,-17.23,-7.19
Jambi,-1.21,-17.8,-9.29,-5,2.39,4.45,3.97,4.58,4.9,12.13,-0.77,1.88
Lampung,-0.71,-11.43,0.06,2.97,8.74,15.35,10.37,12.29,8.9,13.97,-0.03,-0.67
Maluku,-2.63,-22.6,-19.35,-21.7,-16.87,-7,-5.07,3.84,6.1,17.06,-3.35,-4.21
North Kalimantan,-0.58,-20.2,-7.68,-0.43,6.81,10.94,4.15,12.03,13.4,19.26,4.71,3.16
North Maluku,5.84,-10.03,-0.94,-1.77,8.48,16.19,16.25,26.42,28.73,47.65,27,13.7
North Sulawesi,-3.29,-26.13,-20.45,-16.9,-8.84,-2.32,0.53,4.81,4.47,13.55,-7.71,-1.7
North Sumatra,-4.18,-24.53,-15.26,-10.83,-7.71,-3.1,-3.9,-1.1,-2.47,7.35,-4.03,-1.35
Papua,-9.24,-34.4,-27.71,-20.47,-12.77,-8.71,-8.63,-0.9,-0.2,13.71,-4.16,-5.77
Riau,-3.05,-23.2,-12.48,-5.1,-3.68,-1.52,-3.93,-0.61,-1.67,5.9,-4.77,-1.51
Riau Islands,-2.58,-20.87,-15.52,-15,-10.74,-10.55,-12.27,-8.84,-11,-5.81,-17.48,-7.37
South East Sulawesi,-3.66,-22.73,-10.71,-3.3,5.42,10.84,8.77,11.61,12.3,22.29,12.77,7.58
South Kalimantan,0.08,-19.37,-16.52,-12,-7.35,-4,-3.83,1.13,0.4,6.29,-7.77,-2.93
South Sulawesi,-1.05,-24.27,-17.48,-8.6,-3.16,2.52,4.67,9.77,8.03,11.71,-2,0.4
South Sumatra,-0.13,-19.17,-16.19,-10.23,-2.32,0.45,0.83,3.65,2.47,7.52,-3.16,0.16
Special Region of Yogyakarta,-7.37,-31.73,-30.87,-22.97,-17.81,-12.68,-12.3,-7.58,-9.43,-6.13,-18.84,-10.77
West Java,-0.68,-20.47,-6.45,1.83,6.13,7.61,2.87,4.55,3.83,8.1,-5.16,-0.07
West Kalimantan,-8.68,-25.53,-17.06,-12.63,-6.94,-4.42,-8.7,-4.94,-7.63,0.58,-13.52,-6.6
West Nusa Tenggara,-4.5,-20.97,-13.48,-7.2,-2.97,-0.13,0.6,5.84,3.73,6.71,-6.81,-6.88
West Papua,-2.45,-22.8,-15.74,-10.43,-6.45,1.44,-5.45,2.61,5.97,18.26,4.45,1.88
West Sulawesi,-6.61,-22.07,-12.26,-2.37,3,6.13,12.2,15.58,14.8,22.48,6.13,-2.95
West Sumatra,0.18,-20.33,-10.39,-1.5,5.03,9.42,2,7.55,8.63,22.42,12.97,6.77
